order_date,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020
2025-01-01,3,0,1,0,5,1,0,0,0,0,0,0,2,0,0,1,0,4,0,0
2025-01-02,6,4,4,0,8,5,1,8,3,3,0,5,4,4,5,2,5,0,2,5
2025-01-03,0,0,3,3,0,3,2,0,6,1,1,6,1,3,1,0,1,2,3,0
2025-01-04,0,3,0,2,3,2,0,2,2,6,5,2,0,1,0,0,5,0,0,3
2025-01-05,6,1,6,1,0,4,1,1,1,1,1,3,0,0,0,0,4,3,0,2
2025-01-06,0,0,2,8,1,7,8,0,2,5,5,3,10,1,5,1,1,3,8,4
2025-01-07,6,0,5,3,4,0,2,3,1,4,0,2,0,3,1,3,1,0,6,1
2025-01-08,4,0,3,0,1,6,0,2,10,3,1,1,2,2,3,1,10,3,2,1
2025-01-09,0,0,0,2,2,0,1,3,0,6,3,2,5,1,3,6,3,0,3,0
2025-01-10,1,0,2,0,3,5,2,0,0,1,0,0,0,0,2,3,0,0,2,1
2025-01-11,0,5,0,1,1,1,6,0,6,0,3,0,3,2,2,1,0,1,1,6
2025-01-12,2,1,3,7,0,3,4,0,2,0,0,2,1,5,1,1,3,0,0,0
2025-01-13,0,1,2,2,3,0,3,1,0,1,3,4,2,1,2,3,5,0,0,0
2025-01-14,3,7,1,0,0,5,4,1,0,3,3,0,1,0,4,6,2,1,12,1
2025-01-15,0,1,3,5,2,2,0,4,6,0,2,6,3,2,3,6,5,2,0,0
2025-01-16,6,9,1,3,3,0,0,0,0,0,0,0,0,4,0,3,7,1,1,7
2025-01-17,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
2025-01-18,0,2,7,2,4,2,3,0,0,2,3,6,0,4,6,4,0,7,3,0
2025-01-19,3,3,1,2,3,1,2,3,0,6,0,0,0,2,3,4,0,0,2,2
2025-01-20,0,2,9,2,4,2,0,1,3,2,5,1,0,2,5,1,3,3,0,0
2025-01-21,2,5,2,5,1,3,4,2,3,5,2,3,3,6,2,5,2,0,1,5
2025-01-22,2,2,0,4,1,1,0,3,0,0,7,3,3,1,7,0,2,1,2,5
2025-01-23,3,3,4,3,3,2,1,1,1,7,2,3,1,4,3,6,0,5,3,4
2025-01-24,1,0,1,0,8,2,3,3,6,3,2,3,0,1,4,6,1,4,2,3
2025-01-25,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,0,0
2025-01-26,0,0,5,1,1,0,0,3,1,2,0,0,1,0,0,0,0,2,1,2
2025-01-27,1,0,0,5,0,3,0,3,0,1,0,2,0,0,0,1,0,0,2,3
2025-01-28,1,3,0,1,0,2,1,0,3,1,1,3,0,1,4,0,0,3,2,1
2025-01-29,3,7,2,2,2,4,1,3,2,1,0,5,4,0,0,3,8,8,2,6
2025-01-30,0,4,0,0,0,0,6,5,5,7,2,3,5,4,5,6,0,5,5,0
2025-01-31,0,1,1,1,3,0,3,0,3,0,1,0,0,5,3,0,3,0,0,3
2025-02-01,3,1,0,10,0,1,2,8,5,1,3,7,0,4,1,0,1,1,0,0
2025-02-02,3,0,0,3,0,1,1,0,0,2,1,0,3,5,4,0,0,0,2,3
2025-02-03,1,2,0,2,1,0,2,1,3,2,0,0,5,2,1,2,0,0,0,0
2025-02-04,5,2,4,3,3,0,2,5,7,6,3,0,0,2,3,5,1,2,4,5
2025-02-05,3,0,0,0,1,3,0,0,0,0,3,5,0,0,0,0,0,2,4,0
2025-02-06,2,0,0,3,0,7,1,0,7,3,0,2,6,1,4,3,0,1,2,2
2025-02-07,1,5,2,5,3,0,3,2,0,0,0,0,6,2,5,3,0,3,0,4
2025-02-08,0,0,0,0,3,0,0,2,1,3,0,1,2,8,0,0,0,7,1,0
2025-02-09,4,0,1,1,0,0,0,1,3,2,0,3,2,1,9,2,3,0,4,4
2025-02-10,7,3,4,2,0,0,3,2,1,0,1,0,0,5,3,3,0,2,3,1
2025-02-11,0,1,3,4,0,2,0,0,0,3,6,0,1,0,3,3,2,2,1,2
2025-02-12,3,1,0,1,0,0,0,0,0,1,0,0,3,0,2,0,6,0,0,3
2025-02-13,5,2,0,7,0,1,8,3,0,0,5,2,4,4,0,2,4,1,1,5
2025-02-14,10,0,3,5,0,4,3,0,6,7,0,0,2,0,6,6,2,5,2,0
2025-02-15,0,0,2,5,3,3,7,3,0,0,0,1,0,4,2,0,4,0,2,0
2025-02-16,0,0,0,7,1,1,3,2,2,3,3,4,0,0,6,0,0,1,0,0
2025-02-17,3,0,1,1,0,0,3,0,1,0,4,2,3,0,6,0,3,1,0,3
2025-02-18,3,0,0,0,0,0,0,3,0,1,0,0,0,2,2,0,0,0,1,1
2025-02-19,4,10,5,1,2,5,6,3,5,5,3,4,1,6,6,1,5,2,6,5
2025-02-20,11,5,2,2,2,6,4,3,4,4,4,1,5,10,5,3,3,6,8,2
2025-02-21,0,3,6,0,3,0,3,0,2,0,1,0,1,0,5,3,1,0,3,1
2025-02-22,0,3,0,2,2,1,2,4,1,3,2,4,2,2,0,0,0,2,0,0
2025-02-23,1,0,1,2,4,7,3,1,0,5,1,4,2,4,0,0,6,2,3,3
2025-02-24,1,2,7,0,0,2,5,6,0,1,8,4,2,3,0,0,1,3,1,0
2025-02-25,0,0,4,6,9,0,1,3,3,0,2,2,2,2,5,0,1,0,3,3
2025-02-26,0,1,4,1,3,3,1,2,0,4,5,3,1,0,0,3,0,0,0,6
2025-02-27,7,3,2,0,3,0,3,1,3,1,3,1,1,1,4,0,2,6,8,4
2025-02-28,0,6,1,5,0,2,0,0,0,2,3,0,0,2,0,3,2,6,0,0
2025-03-01,3,0,1,0,3,0,8,3,2,1,3,4,3,0,1,3,7,1,0,5
2025-03-02,3,3,0,0,3,2,0,2,0,0,3,0,0,3,0,0,2,0,0,0
2025-03-03,3,1,3,4,3,4,2,3,4,0,7,1,3,5,2,4,1,5,2,8
2025-03-04,0,4,0,6,3,1,3,4,3,2,7,1,5,2,2,5,4,1,2,6
2025-03-05,0,0,1,3,7,1,1,2,1,8,0,4,3,0,0,0,3,1,2,9
2025-03-06,1,1,0,1,4,3,0,1,0,3,1,5,4,4,3,1,2,4,0,6
2025-03-07,5,3,0,0,0,6,0,0,0,0,0,0,0,6,0,0,5,3,0,5
2025-03-08,2,3,3,0,1,2,3,3,1,2,0,6,3,4,0,0,2,4,0,3
2025-03-09,2,3,4,0,3,3,4,1,9,5,0,0,3,7,4,3,1,4,3,1
2025-03-10,3,1,2,4,1,2,0,0,3,2,3,1,2,2,5,2,0,0,2,3
2025-03-11,0,0,0,6,0,1,0,0,0,1,3,1,3,2,3,0,0,0,1,2
2025-03-12,0,3,7,1,1,3,2,4,9,0,0,1,4,3,0,7,3,3,2,4
2025-03-13,0,2,3,0,0,1,0,0,3,0,2,1,0,2,0,0,2,0,0,0
2025-03-14,9,2,4,7,0,1,3,3,2,0,0,0,5,0,4,1,0,3,6,3
2025-03-15,2,0,7,3,3,0,3,4,0,3,1,6,7,0,3,0,0,2,3,1
2025-03-16,1,0,6,1,3,1,2,0,0,0,2,0,1,3,3,3,3,0,3,0
2025-03-17,3,3,3,3,3,1,2,0,0,0,0,1,0,1,1,0,0,0,2,0
2025-03-18,0,9,3,0,7,0,6,3,0,4,5,0,1,4,3,3,2,0,1,1
2025-03-19,3,3,6,2,2,3,3,8,0,0,5,1,1,0,0,1,3,0,3,0
2025-03-20,0,5,2,6,1,0,4,4,2,3,5,3,0,0,2,2,4,0,4,0
2025-03-21,1,0,2,2,3,3,1,0,0,10,0,2,9,0,2,2,1,0,2,3
2025-03-22,0,0,0,0,2,2,3,0,1,0,2,0,0,0,0,3,0,4,1,0
2025-03-23,5,6,1,2,3,3,0,2,3,4,3,0,0,0,1,0,2,3,0,0
2025-03-24,0,1,3,0,5,4,8,8,0,4,4,5,4,4,9,1,5,0,3,0
2025-03-25,3,3,2,5,4,2,3,3,1,3,1,3,0,6,3,2,2,4,3,3
2025-03-26,4,4,1,7,5,6,3,0,2,2,2,3,3,6,2,1,3,9,1,4
2025-03-27,0,0,0,5,0,2,0,2,6,4,0,10,3,3,7,0,2,1,2,0
2025-03-28,3,5,0,4,1,2,4,10,2,2,0,2,5,2,9,4,0,0,0,0
2025-03-29,1,0,2,0,0,3,4,3,3,0,0,0,0,1,1,1,0,3,0,0
2025-03-30,5,2,7,0,0,0,1,7,1,3,0,3,3,0,2,2,0,5,2,3
2025-03-31,3,0,2,3,1,0,4,2,1,0,5,0,0,0,4,2,3,2,6,0
2025-04-01,5,4,0,3,2,1,6,1,4,0,0,2,0,2,0,0,3,2,1,5
2025-04-02,9,3,1,5,5,1,6,6,7,6,2,3,3,5,4,0,3,2,0,0
2025-04-03,2,6,5,2,3,5,5,1,3,6,3,3,4,1,4,3,3,3,2,0
2025-04-04,1,7,1,2,2,1,2,3,9,3,5,0,5,3,1,6,3,3,9,4
2025-04-05,2,0,1,5,1,6,3,0,4,0,0,2,1,8,6,0,1,0,0,3
2025-04-06,6,3,0,0,0,0,0,3,3,1,3,0,1,2,3,3,0,0,0,9
2025-04-07,0,0,0,2,0,0,0,0,1,0,0,0,3,0,1,4,1,2,2,1
2025-04-08,1,2,3,3,0,2,0,3,0,1,2,3,0,0,2,4,1,0,2,1
2025-04-09,0,0,3,1,0,2,0,3,0,3,2,4,3,1,0,2,3,0,3,2
2025-04-10,1,6,6,0,5,0,2,3,3,0,2,0,4,2,0,0,2,0,3,1
2025-04-11,5,4,5,3,0,2,0,2,2,1,3,2,0,0,3,4,2,6,2,3
2025-04-12,0,5,1,9,5,4,5,2,1,3,1,2,2,2,2,3,1,9,6,0
2025-04-13,0,0,3,3,1,6,2,0,4,5,3,3,1,3,0,2,2,1,2,0
2025-04-14,2,0,0,2,0,0,5,3,1,3,0,0,0,8,2,0,0,3,0,0
2025-04-15,1,2,0,7,0,1,1,1,0,0,3,3,4,9,5,0,0,4,3,2
2025-04-16,5,3,4,1,4,1,3,2,5,0,1,0,1,4,2,2,0,5,6,0
2025-04-17,1,1,0,0,3,0,2,2,0,0,3,0,3,4,1,2,1,0,0,4
2025-04-18,2,4,3,0,0,1,2,0,4,2,5,6,0,0,3,3,3,3,8,0
2025-04-19,6,3,0,4,4,3,6,2,3,0,7,0,0,2,9,1,0,3,5,0
2025-04-20,2,3,0,2,3,0,0,0,0,2,3,1,2,3,6,1,0,0,0,4
2025-04-21,0,0,1,1,1,2,5,1,5,3,7,2,1,4,2,2,2,2,4,4
2025-04-22,7,3,0,2,3,3,5,1,3,5,1,0,0,3,3,2,2,1,0,3
2025-04-23,1,3,1,0,0,6,0,0,2,5,7,3,3,3,0,7,3,0,1,2
2025-04-24,0,0,5,3,0,0,7,0,3,0,1,0,2,2,0,0,0,2,2,2
2025-04-25,0,0,7,5,2,0,1,5,0,0,9,4,0,4,2,2,5,1,2,3
2025-04-26,6,2,4,1,2,0,3,3,4,10,1,5,1,11,0,5,7,5,8,1
2025-04-27,4,3,5,3,4,3,4,1,4,0,2,3,2,1,5,2,1,8,3,5
2025-04-28,2,1,0,0,0,2,0,1,2,4,1,1,3,2,4,1,0,3,0,0
2025-04-29,3,0,6,0,0,1,0,4,0,2,4,1,4,5,4,3,0,0,0,1
2025-04-30,3,0,0,1,0,2,2,0,6,0,3,3,0,2,0,3,0,1,3,0
2025-05-01,3,5,3,1,5,0,3,5,3,7,3,3,0,1,2,0,0,3,0,5
2025-05-02,4,3,2,3,0,0,3,0,2,2,4,0,3,0,0,0,0,3,0,1
2025-05-03,5,2,0,3,5,0,3,7,5,0,1,0,2,3,0,3,0,0,0,3
2025-05-04,1,2,6,9,3,5,3,6,2,7,3,2,1,7,7,0,3,3,10,2
2025-05-05,0,3,0,2,0,2,3,0,0,0,0,0,4,2,5,3,1,0,0,2
2025-05-06,0,0,0,3,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0
2025-05-07,1,0,0,0,0,0,7,1,2,0,3,0,1,0,0,0,0,0,2,3
2025-05-08,1,5,2,2,3,2,3,2,2,3,0,3,0,8,5,1,7,0,0,0
2025-05-09,6,3,0,2,6,4,4,3,0,3,0,5,5,0,6,6,7,9,2,3
2025-05-10,0,2,1,0,2,0,3,2,4,1,0,0,3,1,4,2,3,1,0,0
2025-05-11,0,0,0,3,2,1,2,3,1,3,3,4,0,0,3,3,8,0,0,0
2025-05-12,0,0,1,0,3,0,0,0,0,0,2,0,2,0,3,5,2,2,3,4
2025-05-13,4,2,0,2,2,7,2,4,2,3,3,2,5,2,3,3,0,1,1,2
2025-05-14,2,1,3,5,3,3,2,0,2,2,3,0,0,5,5,0,1,2,2,2
2025-05-15,1,0,2,2,2,1,1,0,4,8,1,2,1,6,0,1,1,0,0,7
2025-05-16,5,3,1,2,0,3,4,8,2,3,5,0,2,3,3,6,2,3,5,3
2025-05-17,2,0,1,0,2,4,0,4,3,3,1,3,3,2,1,0,5,2,3,0
2025-05-18,0,0,3,0,2,0,0,4,0,4,3,0,0,3,2,0,0,0,3,2
2025-05-19,0,4,4,0,0,4,1,3,5,1,0,5,0,3,0,0,3,4,9,1
2025-05-20,3,2,1,0,0,7,0,1,0,2,1,4,3,0,0,0,1,4,0,3
2025-05-21,2,1,0,0,4,3,6,1,0,0,0,0,3,0,3,0,0,3,3,0
2025-05-22,1,2,3,0,2,2,4,0,2,1,7,4,5,2,0,1,3,2,0,3
2025-05-23,6,1,5,4,4,1,2,0,4,4,6,0,0,0,2,1,5,3,6,6
2025-05-24,0,0,0,5,6,2,2,2,1,0,0,0,4,1,4,4,0,2,3,1
2025-05-25,0,7,2,1,0,5,3,0,2,0,2,3,2,0,0,0,3,1,3,3
2025-05-26,1,0,1,3,0,0,2,5,0,0,4,2,2,2,6,1,0,3,4,1
2025-05-27,2,0,2,7,2,0,8,4,1,0,5,6,3,0,2,0,0,3,9,0
2025-05-28,6,2,1,9,0,0,3,0,2,0,2,0,0,3,0,0,0,1,2,0
2025-05-29,0,1,0,1,3,0,0,0,0,0,0,0,2,0,0,2,3,1,1,0
2025-05-30,0,0,1,0,5,2,0,0,0,3,6,0,0,0,0,0,3,2,0,0
2025-05-31,1,6,0,0,2,7,3,0,0,7,0,0,2,2,3,3,0,0,0,8
2025-06-01,2,5,6,3,1,1,0,1,2,0,0,0,0,0,0,3,0,4,0,4
2025-06-02,1,6,9,0,5,1,0,3,3,5,1,2,0,3,3,1,7,12,0,4
2025-06-03,4,0,0,3,0,2,0,0,3,3,2,4,6,2,4,0,4,3,0,1
2025-06-04,0,0,0,2,4,7,5,0,6,6,5,2,4,4,4,10,4,6,10,2
2025-06-05,0,2,0,5,0,0,0,1,8,2,5,0,5,1,2,0,0,4,2,3
2025-06-06,1,3,2,1,0,1,0,0,5,3,3,3,9,1,3,2,0,5,0,5
2025-06-07,0,3,0,0,1,0,0,1,2,0,4,0,0,2,3,4,0,5,3,0
2025-06-08,3,1,3,1,0,0,0,0,0,0,2,3,1,0,5,0,2,3,6,0
2025-06-09,0,0,0,1,2,1,0,6,0,2,0,0,3,1,3,0,3,3,3,0
2025-06-10,1,2,0,0,3,1,1,1,2,2,5,0,2,1,1,3,7,0,8,4
2025-06-11,3,0,2,5,6,0,0,0,6,3,2,2,5,0,2,1,3,5,0,1
2025-06-12,0,0,3,2,0,3,3,4,2,0,0,3,0,0,0,1,0,0,0,0
2025-06-13,0,1,6,9,3,3,7,5,5,3,2,3,0,5,2,0,0,2,5,1
2025-06-14,2,0,0,3,0,0,0,0,2,0,7,0,3,7,4,1,0,6,9,6
2025-06-15,4,0,1,5,3,1,0,4,2,0,0,7,1,0,1,1,1,5,0,3
2025-06-16,2,0,0,7,0,2,0,3,2,0,3,6,5,5,1,0,0,1,0,4
2025-06-17,2,5,2,2,0,0,0,2,6,1,5,1,4,5,2,2,0,1,2,0
2025-06-18,3,4,0,0,1,3,0,0,6,1,1,3,3,1,0,1,0,0,1,0
2025-06-19,0,3,4,4,3,0,3,2,0,2,3,3,3,1,3,3,1,6,2,4
2025-06-20,1,4,4,0,6,3,0,0,1,4,1,3,1,2,2,0,5,4,3,0
2025-06-21,3,3,3,0,1,2,3,4,0,6,0,2,2,2,4,0,0,0,7,0
2025-06-22,1,0,5,5,0,0,0,3,1,1,0,1,6,1,3,5,3,2,2,3
2025-06-23,3,0,0,0,0,1,1,0,0,0,3,0,3,0,0,2,0,2,1,0
2025-06-24,1,3,6,1,8,2,0,5,2,5,1,4,6,2,1,2,1,14,5,4
2025-06-25,0,3,2,0,3,2,2,0,3,2,0,7,6,6,0,0,2,1,3,3
2025-06-26,1,3,0,3,1,3,0,2,5,0,2,1,2,0,3,0,3,3,0,3
2025-06-27,6,2,8,0,10,6,9,3,4,3,0,5,5,2,0,14,4,0,0,9
2025-06-28,2,3,0,2,3,1,0,3,0,7,1,0,0,0,2,7,0,0,1,0
2025-06-29,2,0,3,8,0,5,4,3,6,4,7,0,6,0,2,6,2,3,0,1
2025-06-30,0,1,7,4,1,3,9,3,7,1,5,1,2,9,3,3,4,4,3,2
2025-07-01,1,1,3,0,2,1,0,0,0,0,1,0,3,3,4,0,0,1,0,1
2025-07-02,1,3,2,0,0,3,3,2,0,1,0,1,3,2,1,2,0,2,4,0
2025-07-03,1,0,0,0,0,1,2,1,0,1,0,3,0,3,0,0,3,2,0,3
2025-07-04,3,3,0,3,0,0,0,0,0,0,3,0,5,0,1,0,0,2,0,3
2025-07-05,0,5,0,0,2,3,2,0,1,3,6,5,0,2,0,0,1,0,1,0
2025-07-06,1,3,0,1,5,6,3,6,7,6,0,1,0,8,3,1,1,3,2,4
2025-07-07,7,5,4,6,3,1,6,0,3,2,4,0,4,0,1,3,0,6,8,3
2025-07-08,0,4,5,0,1,5,6,3,5,5,0,3,0,1,2,1,6,3,0,0
2025-07-09,0,2,0,0,1,0,3,5,0,1,0,10,2,3,1,5,0,3,3,2
2025-07-10,2,2,5,1,0,6,3,2,4,2,3,1,3,6,1,1,6,4,5,0
2025-07-11,1,0,0,4,4,0,0,5,0,0,0,3,3,3,0,4,2,1,1,0
2025-07-12,0,0,0,0,2,2,0,2,7,2,3,0,4,0,4,0,0,2,2,12
2025-07-13,2,3,5,0,0,1,0,4,4,0,1,3,2,3,0,6,3,0,0,4
2025-07-14,8,5,6,3,0,3,4,4,1,3,0,2,0,5,6,3,3,5,2,0
2025-07-15,2,0,1,2,4,1,2,1,4,0,3,0,1,0,0,1,1,3,0,3
2025-07-16,0,0,1,3,0,2,0,4,0,0,2,0,2,2,5,3,4,0,1,4
2025-07-17,8,3,2,4,3,0,0,0,3,0,6,0,5,0,0,0,5,1,2,4
2025-07-18,0,3,0,2,1,0,2,2,3,2,3,1,0,3,2,3,0,4,0,0
2025-07-19,0,0,0,9,0,3,1,0,4,3,9,3,0,1,4,3,3,2,5,0
2025-07-20,0,2,0,0,0,0,0,0,0,0,0,0,3,1,1,5,2,1,1,4
2025-07-21,4,2,2,3,6,3,2,0,1,9,4,3,0,4,3,0,0,0,1,0
2025-07-22,1,2,0,3,11,1,5,6,3,0,2,0,3,3,0,5,6,4,0,0
2025-07-23,3,1,0,1,0,4,4,2,0,0,0,0,3,6,0,2,0,0,1,0
2025-07-24,0,3,6,3,1,2,1,0,0,3,0,3,1,3,6,0,0,0,0,3
2025-07-25,2,4,7,2,3,0,0,0,0,0,2,2,3,0,0,3,0,7,2,0
2025-07-26,0,1,3,2,0,0,4,3,3,0,0,0,0,0,1,0,3,2,3,0
2025-07-27,1,4,0,3,4,2,0,0,3,0,0,0,0,4,0,5,5,2,5,0
2025-07-28,0,9,2,3,0,0,3,3,4,0,0,5,0,0,4,1,2,4,4,6
2025-07-29,0,8,2,3,4,5,9,3,5,3,2,4,6,3,0,0,2,5,1,1
2025-07-30,0,6,2,0,0,1,3,0,0,0,6,2,3,3,3,1,0,3,0,2
