order_id,order_date,customer_id,geography_id,payment_method,total_amount
O000001,2025-10-25,C0045,G004,QRIS,34350
O000002,2025-04-03,C0002,G008,Transfer,66850
O000003,2025-07-24,C0042,G005,QRIS,7650
O000004,2025-03-14,C0076,G007,Cash,156450
O000005,2025-07-19,C0002,G009,Transfer,85500
O000006,2025-06-25,C0087,G002,QRIS,29950
O000007,2025-05-12,C0058,G006,QRIS,123175
O000008,2025-05-01,C0098,G010,Transfer,66325
O000009,2025-09-19,C0030,G004,E-Wallet,55300
O000010,2025-08-31,C0008,G010,QRIS,109500
O000011,2025-10-24,C0028,G004,E-Wallet,60725
O000012,2025-05-06,C0087,G005,E-Wallet,30000
O000013,2025-02-04,C0023,G002,E-Wallet,18725
O000014,2025-02-26,C0021,G008,Transfer,8075
O000015,2025-04-04,C0006,G005,Cash,48150
O000016,2025-01-30,C0033,G006,Cash,83825
O000017,2025-08-03,C0067,G001,E-Wallet,88000
O000018,2025-01-26,C0082,G007,Transfer,36750
O000019,2025-03-13,C0097,G001,QRIS,27950
O000020,2025-10-06,C0092,G010,E-Wallet,17500
O000021,2025-06-11,C0088,G001,Transfer,15875
O000022,2025-10-14,C0073,G008,QRIS,78125
O000023,2025-02-01,C0092,G008,Cash,47275
O000024,2025-06-30,C0060,G010,QRIS,30000
O000025,2025-02-09,C0021,G002,QRIS,70450
O000026,2025-08-15,C0044,G003,E-Wallet,31000
O000027,2025-03-08,C0054,G010,E-Wallet,99150
O000028,2025-10-11,C0085,G004,QRIS,41325
O000029,2025-07-30,C0095,G006,QRIS,2850
O000030,2025-05-04,C0008,G003,QRIS,50150
O000031,2025-01-12,C0013,G006,Cash,51625
O000032,2025-09-21,C0057,G005,E-Wallet,19500
O000033,2025-11-16,C0099,G010,Cash,35625
O000034,2025-06-24,C0097,G005,Cash,47250
O000035,2025-03-05,C0070,G006,E-Wallet,134500
O000036,2025-08-06,C0007,G008,E-Wallet,33600
O000037,2025-10-30,C0009,G009,Transfer,4950
O000038,2025-04-28,C0008,G004,Transfer,89650
O000039,2025-11-04,C0048,G004,E-Wallet,17000
O000040,2025-04-29,C0066,G008,E-Wallet,54850
O000041,2025-03-09,C0095,G004,E-Wallet,39900
O000042,2025-08-22,C0052,G001,QRIS,91750
O000043,2025-05-21,C0093,G006,QRIS,79950
O000044,2025-04-24,C0035,G002,Transfer,32700
O000045,2025-06-23,C0089,G002,QRIS,25275
O000046,2025-11-09,C0048,G009,E-Wallet,13500
O000047,2025-08-04,C0059,G008,QRIS,12650
O000048,2025-04-01,C0024,G008,E-Wallet,64500
O000049,2025-08-01,C0001,G010,Cash,7125
