sales_detail_id,order_id,product_id,quantity,unit_price,discount,line_total
D0000001,O000001,P014,3,6500,0,19500
D0000002,O000001,P010,3,5500,10,14850
D0000003,O000002,P007,3,18000,5,51300
D0000004,O000002,P017,1,4500,10,4050
D0000005,O000002,P011,1,11500,0,11500
D0000006,O000003,P005,1,8500,10,7650
D0000007,O000004,P018,2,12000,5,22800
D0000008,O000004,P020,3,29500,10,79650
D0000009,O000004,P007,3,18000,0,54000
D0000010,O000005,P019,3,17000,0,51000
D0000011,O000005,P011,3,11500,0,34500
D0000012,O000006,P014,3,6500,0,19500
D0000013,O000006,P010,2,5500,5,10450
D0000014,O000007,P020,3,29500,5,84075
D0000015,O000007,P005,3,8500,0,25500
D0000016,O000007,P017,2,4500,10,8100
D0000017,O000007,P003,1,5500,0,5500
D0000018,O000008,P010,1,5500,5,5225
D0000019,O000008,P015,2,3000,0,6000
D0000020,O000008,P008,2,24500,10,44100
D0000021,O000008,P003,2,5500,0,11000
D0000022,O000009,P011,2,11500,0,23000
D0000023,O000009,P019,2,17000,5,32300
D0000024,O000010,P008,3,24500,0,73500
D0000025,O000010,P018,3,12000,0,36000
D0000026,O000011,P016,1,15500,0,15500
D0000027,O000011,P006,3,10500,5,29925
D0000028,O000011,P013,2,8500,10,15300
D0000029,O000012,P009,2,15000,0,30000
D0000030,O000013,P003,1,5500,5,5225
D0000031,O000013,P009,1,15000,10,13500
D0000032,O000014,P013,1,8500,5,8075
D0000033,O000015,P019,1,17000,5,16150
D0000034,O000015,P016,1,15500,0,15500
D0000035,O000015,P010,3,5500,0,16500
D0000036,O000016,P011,2,11500,10,20700
D0000037,O000016,P007,2,18000,10,32400
D0000038,O000016,P013,3,8500,0,25500
D0000039,O000016,P010,1,5500,5,5225
D0000040,O000017,P020,1,29500,0,29500
D0000041,O000017,P011,2,11500,0,23000
D0000042,O000017,P003,2,5500,0,11000
D0000043,O000017,P008,1,24500,0,24500
D0000044,O000018,P009,1,15000,0,15000
D0000045,O000018,P005,1,8500,0,8500
D0000046,O000018,P003,2,5500,0,11000
D0000047,O000018,P004,1,2500,10,2250
D0000048,O000019,P006,1,10500,0,10500
D0000049,O000019,P002,2,3500,0,7000
D0000050,O000019,P003,2,5500,5,10450
D0000051,O000020,P004,1,2500,0,2500
D0000052,O000020,P015,1,3000,0,3000
D0000053,O000020,P018,1,12000,0,12000
D0000054,O000021,P011,1,11500,5,10925
D0000055,O000021,P003,1,5500,10,4950
D0000056,O000022,P018,1,12000,5,11400
D0000057,O000022,P009,3,15000,10,40500
D0000058,O000022,P006,2,10500,0,21000
D0000059,O000022,P003,1,5500,5,5225
D0000060,O000023,P017,1,4500,5,4275
D0000061,O000023,P011,3,11500,0,34500
D0000062,O000023,P004,2,2500,0,5000
D0000063,O000023,P002,1,3500,0,3500
D0000064,O000024,P009,2,15000,0,30000
D0000065,O000025,P003,1,5500,10,4950
D0000066,O000025,P008,1,24500,0,24500
D0000067,O000025,P019,2,17000,0,34000
D0000068,O000025,P001,2,3500,0,7000
D0000069,O000026,P016,2,15500,0,31000
D0000070,O000027,P003,3,5500,10,14850
D0000071,O000027,P007,3,18000,0,54000
D0000072,O000027,P014,3,6500,0,19500
D0000073,O000027,P018,1,12000,10,10800
D0000074,O000028,P018,1,12000,5,11400
D0000075,O000028,P006,3,10500,5,29925
D0000076,O000029,P015,1,3000,5,2850
D0000077,O000030,P019,2,17000,5,32300
D0000078,O000030,P010,3,5500,10,14850
D0000079,O000030,P015,1,3000,0,3000
D0000080,O000031,P003,3,5500,5,15675
D0000081,O000031,P002,1,3500,5,3325
D0000082,O000031,P015,1,3000,10,2700
D0000083,O000031,P006,3,10500,5,29925
D0000084,O000032,P014,3,6500,0,19500
D0000085,O000033,P017,3,4500,5,12825
D0000086,O000033,P018,2,12000,5,22800
D0000087,O000034,P018,3,12000,10,32400
D0000088,O000034,P010,3,5500,10,14850
D0000089,O000035,P012,2,39500,5,75050
D0000090,O000035,P008,2,24500,0,49000
D0000091,O000035,P010,2,5500,5,10450
D0000092,O000036,P015,3,3000,5,8550
D0000093,O000036,P017,1,4500,10,4050
D0000094,O000036,P006,2,10500,0,21000
D0000095,O000037,P010,1,5500,10,4950
D0000096,O000038,P018,3,12000,5,34200
D0000097,O000038,P016,1,15500,10,13950
D0000098,O000038,P011,1,11500,0,11500
D0000099,O000038,P009,2,15000,0,30000
D0000100,O000039,P019,1,17000,0,17000
D0000101,O000040,P008,2,24500,0,49000
D0000102,O000040,P014,1,6500,10,5850
D0000103,O000041,P009,2,15000,0,30000
D0000104,O000041,P003,2,5500,10,9900
D0000105,O000042,P007,1,18000,10,16200
D0000106,O000042,P016,3,15500,0,46500
D0000107,O000042,P011,1,11500,0,11500
