order_date,product_id,quantity,model,type,part
2025-01-08,P001,4,-,Actual,Train
2025-01-09,P001,0,-,Actual,Train
2025-01-10,P001,1,-,Actual,Train
2025-01-11,P001,0,-,Actual,Train
2025-01-12,P001,2,-,Actual,Train
2025-01-13,P001,0,-,Actual,Train
2025-01-14,P001,3,-,Actual,Train
2025-01-15,P001,0,-,Actual,Train
2025-01-16,P001,6,-,Actual,Train
2025-01-17,P001,0,-,Actual,Train
2025-01-18,P001,0,-,Actual,Train
2025-01-19,P001,3,-,Actual,Train
2025-01-20,P001,0,-,Actual,Train
2025-01-21,P001,2,-,Actual,Train
2025-01-22,P001,2,-,Actual,Train
2025-01-23,P001,3,-,Actual,Train
2025-01-24,P001,1,-,Actual,Train
2025-01-25,P001,0,-,Actual,Train
2025-01-26,P001,0,-,Actual,Train
2025-01-27,P001,1,-,Actual,Train
2025-01-28,P001,1,-,Actual,Train
2025-01-29,P001,3,-,Actual,Train
2025-01-30,P001,0,-,Actual,Train
2025-01-31,P001,0,-,Actual,Train
2025-02-01,P001,3,-,Actual,Train
2025-02-02,P001,3,-,Actual,Train
2025-02-03,P001,1,-,Actual,Train
2025-02-04,P001,5,-,Actual,Train
2025-02-05,P001,3,-,Actual,Train
2025-02-06,P001,2,-,Actual,Train
2025-02-07,P001,1,-,Actual,Train
2025-02-08,P001,0,-,Actual,Train
2025-02-09,P001,4,-,Actual,Train
2025-02-10,P001,7,-,Actual,Train
2025-02-11,P001,0,-,Actual,Train
2025-02-12,P001,3,-,Actual,Train
2025-02-13,P001,5,-,Actual,Train
2025-02-14,P001,10,-,Actual,Train
2025-02-15,P001,0,-,Actual,Train
2025-02-16,P001,0,-,Actual,Train
2025-02-17,P001,3,-,Actual,Train
2025-02-18,P001,3,-,Actual,Train
2025-02-19,P001,4,-,Actual,Train
2025-02-20,P001,11,-,Actual,Train
2025-02-21,P001,0,-,Actual,Train
2025-02-22,P001,0,-,Actual,Train
2025-02-23,P001,1,-,Actual,Train
2025-02-24,P001,1,-,Actual,Train
2025-02-25,P001,0,-,Actual,Train
2025-02-26,P001,0,-,Actual,Train
2025-02-27,P001,7,-,Actual,Train
2025-02-28,P001,0,-,Actual,Train
2025-03-01,P001,3,-,Actual,Train
2025-03-02,P001,3,-,Actual,Train
2025-03-03,P001,3,-,Actual,Train
2025-03-04,P001,0,-,Actual,Train
2025-03-05,P001,0,-,Actual,Train
2025-03-06,P001,1,-,Actual,Train
2025-03-07,P001,5,-,Actual,Train
2025-03-08,P001,2,-,Actual,Train
2025-03-09,P001,2,-,Actual,Train
2025-03-10,P001,3,-,Actual,Train
2025-03-11,P001,0,-,Actual,Train
2025-03-12,P001,0,-,Actual,Train
2025-03-13,P001,0,-,Actual,Train
2025-03-14,P001,9,-,Actual,Train
